SampleID,Date,Treatment,lake,seqnames,seqlength,mapped,rpkm,rpkm_relative_abundance,TPM,TPM_relative_abundance
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_L111-01;163_171_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_L211-07;40_0_50,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_L211-101;14_98_2,852,53,0.000256396,4.5221843,45221.843,4.5221843
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_L211-11;18_94_2,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_L311-01;126_45_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LE13-04;150_173_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LE3;148_100_74,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LG11-05;108_213_3,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LG13-03;128_227_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LG13-11;143_9_15,870,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LG13-12;84_41_37,852,9,4.35E-05,0.767918089,7679.180887,0.767918089
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LG13-13;67_235_3,852,4,1.94E-05,0.341296928,3412.969283,0.341296928
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LL11-07;57_25_18,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LL13-03;78_129_15,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_LL13-06;136_138_9,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_AC_P_19900807_S300;103_93_12,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_MB_F_20061100_S19;56_69_11,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_MB_F_20061100_S19D;33_191_11,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_MB_F_20061100_S20;127_0_74,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_MB_F_20061100_S20D;119_124_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_MB_S_20031200_S102;20_46_14,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_MB_S_20031200_S102D;174_241_14,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_OC_H_19870700_S124;140_56_0,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_OC_LR_19540900_S633;66_181_12,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_QC_B_20070730_S2;74_40_9,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_QC_C_20070703_M131;85_51_32,852,5,2.42E-05,0.42662116,4266.211604,0.42662116
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_QC_C_20070823_S13;11_302_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_QC_C_20070823_S13D;43_344_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_QC_Ca_00000000_S207;0_303_0,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_QC_Ch_20071001_M135;139_266_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_QC_Ch_20071001_S25;89_182_11,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_QC_Ch_20071001_S25D;81_44_11,852,1,4.84E-06,0.085324232,853.2423208,0.085324232
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Ma_SC_T_19800800_S464;52_87_38,852,4,1.94E-05,0.341296928,3412.969283,0.341296928
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-1211;50_23_22,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-2481;55_0_865,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-2519;36_70_6,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-2520;149_3_66,852,236,0.001141689,20.13651877,201365.1877,20.13651877
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-2521;29_5_114,870,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-2522;162_49_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-2549;2_0_857,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-298;182_1424_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-3787;151_21_52,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-3804;41_38_9,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-3806;13_1_40,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-3807;115_9_75,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-4264;154_8_25,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-4285;92_136_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-4325;73_35_12,852,4,1.94E-05,0.341296928,3412.969283,0.341296928
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-44;76_71_40,852,37,0.000178994,3.156996587,31569.96587,3.156996587
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-843;159_0_5491,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-87;93_5_95,852,13,6.29E-05,1.109215017,11092.15017,1.109215017
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-88;38_21_68,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NIES-98;51_66_38,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_NaRes975;134_309_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_7005;133_550_4,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_7806SL;97_0_1631,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_7941;171_11_26,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_9432;107_40_34,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_9443;167_38_21,852,4,1.94E-05,0.341296928,3412.969283,0.341296928
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_9701;179_147_15,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_9717;61_13_60,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_9806;156_11_81,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_9807;19_6_74,870,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_9808;8_13_357,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_PCC_9809;120_38_49,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_S11-01;111_26_7,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_S11-05;31_13_7,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_SPC777;170_215_11,852,5,2.42E-05,0.42662116,4266.211604,0.42662116
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_SX13-01;47_251_3,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_SX13-11;129_63_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_Sj;88_10_17,852,1,4.84E-06,0.085324232,853.2423208,0.085324232
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_TA09;123_0_210,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_TAIHU98;80_0_355,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_W11-03;144_44_9,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_W11-06;94_45_9,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_W13-11;65_65_12,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_W13-13;39_175_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_W13-15;24_176_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_W13-16;68_179_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_W13-18;124_15_12,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_DF17;83_65_7,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_Ma_QC_C_20070823_S18;91_89_4,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_Ma_QC_C_20070823_S18D;131_54_4,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_Mf_QC_C_20070823_S10;132_129_4,852,9,4.35E-05,0.767918089,7679.180887,0.767918089
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_Mf_QC_C_20070823_S10D;106_175_4,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_Mf_QC_C_20070823_S20;12_92_4,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_Mf_QC_C_20070823_S20D;44_47_4,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_Mf_QC_C_20070823_S20T;16_185_6,852,0,0,0,0,0
