Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Treatment	Timepoint	Culture	NPratio	REP	GROUP	NOTE
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:30	3.99	3.14	0.02	0	0.07	7.15	100	-0.34	24.03	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.68	3.22	0	0	0.11	6.9	100	-0.33	24.03	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.69	3.12	0	0.06	0.09	6.87	100	-0.33	24.03	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.72	3.19	0.04	0	0.09	6.95	100	-0.33	24.05	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.76	3.19	0	0	0.09	6.94	100	-0.34	24.05	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.75	3.18	0	0.08	0.09	7	100	-0.34	24.05	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.82	3.17	0	0	0.05	6.99	100	-0.34	24.05	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.56	3.17	0.19	0	0.07	6.92	100	-0.33	24.03	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.59	3.19	0.07	0	0.11	6.85	100	-0.33	24.05	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
11/21/25 13:31	3.64	3.18	0	0.01	0.12	6.83	100	-0.34	24.05	MIX1_80	T0	LE19-195	80	R1	CONTROL	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:32	4.19	2.99	0	0	0.08	7.18	100	-0.33	23.97	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	3.97	3.04	0.04	0	0.07	7.05	100	-0.33	23.98	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	3.94	2.98	0	0.01	0.1	6.93	100	-0.34	23.97	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	3.89	2.98	0.01	0	0.11	6.88	100	-0.34	23.97	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	4.13	2.96	0	0	0.1	7.09	100	-0.33	23.99	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	3.91	3.03	0	0.01	0.08	6.96	100	-0.34	23.98	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	3.82	3.03	0	0.01	0.12	6.86	100	-0.33	23.99	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	4	3.01	0	0	0.08	7.01	100	-0.34	23.99	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	3.79	3	0	0	0.11	6.79	100	-0.34	24.01	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
11/21/25 13:32	3.89	3.05	0	0.01	0.12	6.95	100	-0.34	24.03	MIX3_80	T0	LE19-114	80	R1	CONTROL	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:33	2.94	3.07	0	0	0.14	6.01	100	-0.34	24.03	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
11/21/25 13:33	3.07	3.08	0	0	0.14	6.15	100	-0.34	24.05	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
11/21/25 13:33	2.97	3.05	0	0	0.16	6.02	99.97	-0.34	24.05	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
11/21/25 13:33	2.91	3.07	0	0	0.18	5.99	100	-0.34	24.05	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
11/21/25 13:33	3.02	3.06	0	0	0.15	6.09	100	-0.34	24.05	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
11/21/25 13:33	3.02	3.07	0	0	0.14	6.09	100	-0.34	24.05	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
11/21/25 13:33	3.09	3.06	0	0	0.11	6.16	100	-0.33	24.06	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
11/21/25 13:33	2.92	3.03	0	0	0.17	5.95	100	-0.34	24.09	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
11/21/25 13:33	2.98	3.07	0	0	0.16	6.05	100	-0.34	24.06	MIX1_Q1_5	T0	LE19-195	5	R1	QUAGGA	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:35	3	0	0	0	0.01	3	100	-0.33	24.05	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
11/21/25 13:35	2.98	0	0	0	0	2.98	100	-0.34	24.05	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
11/21/25 13:35	2.88	0	0	0	0.03	2.88	100	-0.34	24.06	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
11/21/25 13:35	2.93	0	0	0	0	2.93	100	-0.34	24.05	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
11/21/25 13:35	2.84	0	0	0	0.02	2.84	100	-0.34	24.05	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
11/21/25 13:35	2.98	0	0	0	0	2.98	100	-0.34	24.08	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
11/21/25 13:35	3.04	0	0	0	0	3.04	100	-0.33	24.1	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
11/21/25 13:35	2.95	0	0	0	0	2.95	100	-0.34	24.1	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
11/21/25 13:35	2.95	0	0	0	0.01	2.95	100	-0.34	24.09	CHLAMY_Q1_5	T0	CHLAMY	5	R1	QUAGGA	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:35	3.83	0	0.1	0	0	3.92	100	-0.34	24.08	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
11/21/25 13:36	3.46	0	0.11	0	0.02	3.57	100	-0.34	24.09	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
11/21/25 13:36	3.69	0	0	0	0.03	3.69	100	-0.34	24.1	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
11/21/25 13:36	3.43	0	0.14	0	0.04	3.57	100	-0.34	24.1	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
11/21/25 13:36	3.55	0	0.06	0	0.04	3.62	100	-0.34	24.11	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
11/21/25 13:36	3.54	0	0.11	0	0.02	3.65	100	-0.33	24.11	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
11/21/25 13:36	3.58	0	0.12	0	0.02	3.7	100	-0.34	24.12	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
11/21/25 13:36	3.47	0	0.19	0	0	3.66	100	-0.33	24.11	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
11/21/25 13:36	3.7	0	0	0	0.03	3.7	100	-0.33	24.11	CHLAMY_Q1_80	T0	CHLAMY	80	R1	QUAGGA	NEW
