old	short_name	tip.label	group	hex_col	WLECC	Marvin_choice
Microcystis_wesenbergii_LE013_01	LE013_01	Microcystis_wesenbergii_LE013-01	Mae8	#803C00	FALSE	FALSE
Microcystis_wesenbergii_Mw_MB_S_20031200_S109	MwMBSS109	Microcystis_wesenbergii_Mw_MB_S_20031200_S109	Mwe	#A9D08E	FALSE	FALSE
Microcystis_wesenbergii_Mw_MB_S_20031200_S109D	MwMBSS109D	Microcystis_wesenbergii_Mw_MB_S_20031200_S109D	Mwe	#A9D08E	FALSE	FALSE
Microcystis_wesenbergii_Mw_QC_B_20070930_S4	MwQCBS4	Microcystis_wesenbergii_Mw_QC_B_20070930_S4	Mwe	#A9D08E	FALSE	FALSE
Microcystis_wesenbergii_Mw_QC_B_20070930_S4D	MwQCBS4D	Microcystis_wesenbergii_Mw_QC_B_20070930_S4D	Mwe	#A9D08E	FALSE	FALSE
Microcystis_wesenbergii_Mw_QC_S_20081001_S30	MwQCSS30	Microcystis_wesenbergii_Mw_QC_S_20081001_S30	Mwe	#A9D08E	FALSE	FALSE
Microcystis_wesenbergii_Mw_QC_S_20081001_S30D	MwQCSS30D	Microcystis_wesenbergii_Mw_QC_S_20081001_S30D	Mwe	#A9D08E	FALSE	FALSE
Microcystis_wesenbergii_TW10	TW10	Microcystis_wesenbergii_TW10	Mae8	#803C00	FALSE	FALSE
ND-100	LE19-41.2C	LE19-41	Mae3_3	#A6A6A6	TRUE	TRUE
ND-101	LE19-10.1C	LE19-10	Mae3_3	#A6A6A6	TRUE	TRUE
ND-102	LE19-12.2C	LE19-12	Mfl_ae1	#FFC000	TRUE	TRUE
ND-103	LE17-20.1A	LE17-20C	Other	#9C0000	TRUE	FALSE
ND-78	LE17-10A	LE17-10A	Mae5	#9BC2E6	TRUE	TRUE
ND-79	LE18-22.4A	LE18-22	Mae3_1	#D9D9D9	TRUE	TRUE
ND-80	LE19-114.1A	LE19-114	Mae5	#9BC2E6	TRUE	TRUE
ND-81	LE19-13.4A	LE19-13	Mfl_ae1	#FFC000	TRUE	TRUE
ND-82	LE19-196.1A	LE19-196	Mae5	#9BC2E6	TRUE	TRUE
ND-83	LE19-281.1A	LE19-281	Other	#9C0000	TRUE	TRUE
ND-84	LE19-338.1B	LE19-338	Mfl_ae3	#FF8500	TRUE	TRUE
ND-85	LE19-55.1A	LE19-55	Mfl_ae1	#FFC000	TRUE	TRUE
ND-86	LE19-8.1A	LE19-8	Mae8	#803C00	TRUE	TRUE
ND-87	LE19-84.1	LE19-84	Mae4	#FF0B7F	TRUE	TRUE
ND-87	LE19-84.1	LE19-84	Other	#9C0000	TRUE	FALSE
ND-88	LE19-12.3A	LE19-12.3A	Other	#9C0000	TRUE	FALSE
ND-89	LE19-131.1A	LE19-131	Mae1	#806000	TRUE	TRUE
ND-90	LE19-195.1A	LE19-195	Mae3_1	#D9D9D9	TRUE	TRUE
ND-90	LE19-195.1A	LE19-195	Other	#9C0000	TRUE	FALSE
ND-91	LE19-197.1A	LE19-197	Mfl_ae1	#FFC000	TRUE	TRUE
ND-92	LE19-366.1A	LE19-366	Other	#9C0000	TRUE	FALSE
ND-93	LE19-4.1A	LE19-4	Mae5	#9BC2E6	TRUE	TRUE
ND-94	LE19-59.1A	LE19-59	Mae3_3	#A6A6A6	TRUE	TRUE
ND-95	LE19-98.1A	LE19-98	Mfl_ae1	#FFC000	TRUE	TRUE
ND-97	LE17-20C	LE17-20C	Mae8	#803C00	TRUE	TRUE
ND-98	LE19-251.1C	LE19-251	Mae3_3	#A6A6A6	TRUE	TRUE
ND-99	LE19-388.1C	LE19-388	Mfl_ae3	#FF8500	TRUE	TRUE
PCC_6803	PCC_6803	PCC_6803	Other	#9C0000	FALSE	FALSE
