Treatment	Culture	NPratio	GROUP	NOTE	REP	exp_date	start_time	m1_body_length	m2_body_length	volume_ml	mussel_batch
MIX2_Q1_80	LE19-131	80	QUAGGA	NEW	R1	X082925	8/29/25 14:23	19.32	22.07	1500	LE2025
MIX2_Q2_80	LE19-131	80	QUAGGA	NEW	R2	X082925	8/29/25 14:27	19.33	20.46	1500	LE2025
CHLAMY_Q1_20	CHLAMY	20	QUAGGA	NEW	R1	X090525	9/5/25 14:59	24.04	19.66	1500	LE2025
CHLAMY_Q1_5	CHLAMY	5	QUAGGA	NEW	R1	X090525	9/5/25 15:05	22.6	19.08	1500	LE2025
MIX1_OQ1_5	LE19-195	5	QUAGGA	OLD	R1	X090525	9/5/25 15:12	23.24	18.41	1500	LE2025
MIX1_Q1_20	LE19-195	20	QUAGGA	NEW	R1	X090525	9/5/25 15:01	21.19	23.41	1500	LE2025
MIX1_Q1_5	LE19-195	5	QUAGGA	NEW	R1	X090525	9/5/25 15:14	20.18	18.81	1500	LE2025
MIX2_OQ1_5	LE19-131	5	QUAGGA	OLD	R1	X090525	9/5/25 15:07	20.88	18.7	1500	LE2025
MIX2_OQ2_5	LE19-131	5	QUAGGA	OLD	R2	X090525	9/5/25 15:09	19.22	22.04	1500	LE2025
MIX2_Q1_20	LE19-131	20	QUAGGA	NEW	R1	X090525	9/5/25 15:03	24.7	20.36	1500	LE2025
MIX2_Q1_5	LE19-131	5	QUAGGA	NEW	R1	X090525	9/5/25 15:11	16.87	19.26	1500	LE2025
MIX2_Q1_80	LE19-131	80	QUAGGA	NEW	R1	X091225	9/12/25 13:58	20.64	18.03	1500	LE2025
MIX1_Q1_5	LE19-195	5	QUAGGA	NEW	R1	X091225	9/12/25 14:01	20.2	22.35	1500	LE2025
MIX1_Q2_5	LE19-195	5	QUAGGA	NEW	R2	X091225	9/12/25 14:02	20.13	21.53	1500	LE2025
MIX1_Q1_80	LE19-195	80	QUAGGA	NEW	R1	X091225	9/12/25 14:00	18.62	23.08	1500	LE2025
MIX2_Q2_80	LE19-131	80	QUAGGA	NEW	R2	X091225	9/12/25 14:03	24.42	19.34	1500	LE2025
CHLAMY_Q1_80	CHLAMY	80	QUAGGA	NEW	R1	X091225	9/12/25 14:07	18.99	23.13	1500	LE2025
MIX2_Q1_5	LE19-131	5	QUAGGA	NEW	R1	X091225	9/12/25 14:07	24.7	19.33	1500	LE2025
CHLAMY_Q1_5	CHLAMY	5	QUAGGA	NEW	R1	X091225	9/12/25 14:09	19.24	21.44	1500	LE2025
MIX2_Q2_5	LE19-131	5	QUAGGA	NEW	R2	X091225	9/12/25 14:07	18.85	20.2	1500	LE2025
MIX3_5	LE19-114	5	CONTROL	NEW	R1	X101725				1500	
CHLAMY_5	CHLAMY	5	CONTROL	NEW	R1	X101725				1500	
