Tank,ExperimentDate,Month,Day,Year,category,exp_id,V,WaterLocation,quagga_elapsed_hour,quagga_VFMx,Z0,ZFM,avg_control_elapsed_hour,avg_C0,avg_CFM,FI
Q1,10/4/18,10,4,2018,blugrn,277,14000,WE4,3.86502525250117,13925,2.57606060606061,2.03,3.85584852887524,2.52922469135802,2.38307966394458,32.3657528474105
Q1,10/4/18,10,4,2018,crypto,277,14000,WE4,3.86502525250117,13925,0.0127272727272727,0.0338888888888889,3.85584852887524,0.0173876543209877,0.0263055608309142,-102.385899937374
Q1,10/4/18,10,4,2018,diatom,277,14000,WE4,3.86502525250117,13925,2.8669696969697,1.30805555555556,3.85584852887524,2.95475802469136,2.83880381996256,134.869994043643
Q1,10/4/18,10,4,2018,grn,277,14000,WE4,3.86502525250117,13925,0.207878787878788,0.0163888888888889,3.85584852887524,0.268772839506173,0.343465458458811,504.498666229925
Q1,10/4/18,10,4,2018,total,277,14000,WE4,3.86502525250117,13925,5.66575757575758,3.38694444444444,3.85584852887524,5.76998518518519,5.59089837850548,87.4736953937893
Q1,10/4/18,10,4,2018,yellow_sub,277,14000,WE4,3.86502525250117,13925,1.23121212121212,1.29333333333333,3.85584852887524,1.23293580246914,1.10847029671632,-28.1883393834306
Q1,6/12/19,6,12,2019,blugrn,163,14000,SB15,4.69243633276886,13850,2.15778947368421,2.34814516129032,4.68309419987378,2.22811956693536,2.29509601777588,-8.19346361059307
Q1,6/12/19,6,12,2019,crypto,163,14000,SB15,4.69243633276886,13850,2.44,2.42991935483871,4.68309419987378,2.55535433177538,2.75852230660053,12.0302005130131
Q1,6/12/19,6,12,2019,grn,163,14000,SB15,4.69243633276886,13850,0,0,4.68309419987378,0,0,NA
Q1,6/12/19,6,12,2019,total,163,14000,SB15,4.69243633276886,13850,4.83821052631579,4.77790322580645,4.68309419987378,5.1002933121091,5.2785090332169,6.99468872993756
Q1,6/12/19,6,12,2019,yellow_sub,163,14000,SB15,4.69243633276886,13850,0.748947368421053,0.802016129032258,4.68309419987378,0.732959628801734,0.710732774388013,-14.8063556553669
Q1,6/28/18,6,28,2018,blugrn,180,14000,WE4,3.5803571428193,13925,1.35964285714286,1.10678571428571,3.70793650794912,1.93630952380952,1.30134920634921,-37.463914735075
Q1,6/28/18,6,28,2018,diatom,180,14000,WE4,3.5803571428193,13925,1.38035714285714,1.00678571428571,3.70793650794912,1.27071428571429,1.48729276895944,92.4685635840683
Q1,6/28/18,6,28,2018,grn,180,14000,WE4,3.5803571428193,13925,0.394285714285714,0.0760714285714286,3.70793650794912,0.298095238095238,0.325308641975309,338.774891848545
Q1,6/28/18,6,28,2018,total,180,14000,WE4,3.5803571428193,13925,3.15321428571429,2.18928571428571,3.70793650794912,3.64702380952381,3.1532671957672,42.8902133074468
Q1,6/28/18,6,28,2018,yellow_sub,180,14000,WE4,3.5803571428193,13925,1.86607142857143,1.81714285714286,3.70793650794912,1.85333333333333,1.83401234567901,3.14582592270644
Q1,7/10/18,7,10,2018,blugrn,192,14000,WE4,2.63735754986604,13925,0.956666666666667,0.761111111111111,2.63337949995641,0.983605508870215,0.935564713064713,47.4037929756268
Q1,7/10/18,7,10,2018,crypto,192,14000,WE4,2.63735754986604,13925,0.838205128205128,0.120833333333333,2.63337949995641,0.67870059134765,0.484135124135124,424.411263471817
Q1,7/10/18,7,10,2018,diatom,192,14000,WE4,2.63735754986604,13925,2.32025641025641,0.950277777777778,2.63337949995641,2.46073544973545,2.65105575905576,256.705213419427
Q1,7/10/18,7,10,2018,grn,192,14000,WE4,2.63735754986604,13925,3.03666666666667,1.55222222222222,2.63337949995641,3.1668370681606,3.32472039072039,191.027401401085
Q1,7/10/18,7,10,2018,total,192,14000,WE4,2.63735754986604,13925,7.15179487179487,3.38527777777778,2.63337949995641,7.29034982882042,7.39558363858364,202.316600258613
Q1,7/10/18,7,10,2018,yellow_sub,192,14000,WE4,2.63735754986604,13925,0.655384615384615,0.547777777777778,2.63337949995641,0.631794273264861,0.471614163614164,-30.005425367679
Q1,7/10/19,7,10,2019,blugrn,191,14000,SB15,4.52575547330909,13850,4.7904347826087,4.86510638297872,4.52953417817752,4.66699754901961,4.79307047168749,1.73043209402294
Q1,7/10/19,7,10,2019,crypto,191,14000,SB15,4.52575547330909,13850,1.16108695652174,1.19234042553191,4.52953417817752,1.02366953564371,1.04116268804399,-1.48749829641088
Q1,7/10/19,7,10,2019,diatom,191,14000,SB15,4.52575547330909,13850,3.38391304347826,2.74829787234043,4.52953417817752,3.58806306049552,3.60302286448983,32.8228398603117
Q1,7/10/19,7,10,2019,grn,191,14000,SB15,4.52575547330909,13850,0,0,4.52953417817752,0,0,NA
Q1,7/10/19,7,10,2019,total,191,14000,SB15,4.52575547330909,13850,9.33695652173913,8.80574468085106,4.52953417817752,9.27845284237726,9.43730902314889,11.6856662112571
Q1,7/10/19,7,10,2019,yellow_sub,191,14000,SB15,4.52575547330909,13850,0.57304347826087,0.69,4.52953417817752,0.569120402036784,0.497126444953993,-49.6457062873405
Q1,7/18/19,7,18,2019,blugrn,199,14000,WE4,3.81666666666667,13900,1.96628571428571,1.03941176470588,3.82020312137074,1.85742097597847,1.79298103728211,110.443871579924
Q1,7/18/19,7,18,2019,crypto,199,14000,WE4,3.81666666666667,13900,0.139428571428571,0.182941176470588,3.82020312137074,0.188611359991151,0.234703611800386,-9.7163668699942
Q1,7/18/19,7,18,2019,diatom,199,14000,WE4,3.81666666666667,13900,2.27028571428571,1.055,3.82020312137074,2.23165204726877,2.34111494041602,149.338440521953
Q1,7/18/19,7,18,2019,grn,199,14000,WE4,3.81666666666667,13900,2.14657142857143,0.944117647058824,3.82020312137074,2.16610674188375,2.54105045492142,179.925526186236
Q1,7/18/19,7,18,2019,total,199,14000,WE4,3.81666666666667,13900,6.522,3.22117647058824,3.82020312137074,6.44422952270339,6.90965566890298,142.170760030056
Q1,7/18/19,7,18,2019,yellow_sub,199,14000,WE4,3.81666666666667,13900,0.667714285714286,0.796470588235294,3.82020312137074,0.659504415316262,0.531532947339399,-71.9049753970076
Q1,7/25/18,7,25,2018,blugrn,206,14000,WE4,4.24786324785815,13925,4.02871794871795,3.69,4.27180942550853,4.1684421101774,3.91622186234818,4.18674571672382
Q1,7/25/18,7,25,2018,crypto,206,14000,WE4,4.24786324785815,13925,0.667948717948718,0.771785714285714,4.27180942550853,0.655548397136632,0.73416383265857,-5.14725221920997
Q1,7/25/18,7,25,2018,diatom,206,14000,WE4,4.24786324785815,13925,1.87025641025641,1.03714285714286,4.27180942550853,1.98339666977902,1.98568070175439,97.3500597597507
Q1,7/25/18,7,25,2018,grn,206,14000,WE4,4.24786324785815,13925,0.483076923076923,0.0171428571428571,4.27180942550853,0.274139122315593,0.554861538461539,666.352437930947
Q1,7/25/18,7,25,2018,total,206,14000,WE4,4.24786324785815,13925,7.05179487179487,5.5175,4.27180942550853,7.08066588857765,7.18955951417004,42.9471187873791
Q1,7/25/18,7,25,2018,yellow_sub,206,14000,WE4,4.24786324785815,13925,1.17717948717949,1.21785714285714,4.27180942550853,1.21798179271709,1.13113819163293,-17.7876925247706
Q1,7/25/19,7,25,2019,blugrn,206,14000,SB15,5.36288998352157,13850,8.85362068965517,9.12809523809524,5.37050371872054,8.92927450980392,8.88358237547893,-4.65468520602621
Q1,7/25/19,7,25,2019,crypto,206,14000,SB15,5.36288998352157,13850,4.99327586206897,5.16238095238095,5.37050371872054,5.15831590413943,4.89018199233716,-11.3148777304458
Q1,7/25/19,7,25,2019,diatom,206,14000,SB15,5.36288998352157,13850,4.02810344827586,3.64714285714286,5.37050371872054,3.93811220043573,4.26423690932312,23.3529579215819
Q1,7/25/19,7,25,2019,grn,206,14000,SB15,5.36288998352157,13850,0,0,5.37050371872054,0,0,NA
Q1,7/25/19,7,25,2019,total,206,14000,SB15,5.36288998352157,13850,17.875,17.9383333333333,5.37050371872054,18.0245697167756,18.0379533844189,-0.364771497607597
Q1,7/25/19,7,25,2019,yellow_sub,206,14000,SB15,5.36288998352157,13850,1.50931034482759,1.4902380952381,5.37050371872054,1.55328104575163,1.40563218390805,-11.3774097863939
Q1,7/31/19,7,31,2019,blugrn,212,14000,WE4,3.29105691055457,13900,22.616875,24.8507317073171,3.30410874852428,24.1767826521024,22.8049097744361,-32.4593197715103
Q1,7/31/19,7,31,2019,crypto,212,14000,WE4,3.29105691055457,13900,1.68484375,2.34219512195122,3.30410874852428,1.89850334742777,1.94156780840991,-65.2951548066556
Q1,7/31/19,7,31,2019,diatom,212,14000,WE4,3.29105691055457,13900,0.025,0.0582926829268293,3.30410874852428,0.0932652102419544,0.0659640768588137,-253.734999964482
Q1,7/31/19,7,31,2019,grn,212,14000,WE4,3.29105691055457,13900,0,0,3.30410874852428,0,0,NA
Q1,7/31/19,7,31,2019,total,212,14000,WE4,3.29105691055457,13900,24.3275,27.2521951219512,3.30410874852428,26.1689128200611,24.8126775271512,-35.4660819910043
Q1,7/31/19,7,31,2019,yellow_sub,212,14000,WE4,3.29105691055457,13900,1.2759375,1.17829268292683,3.30410874852428,1.2949073584684,1.16590169869117,-5.38756416863598
Q1,8/13/2019 Whole,8,13,2019 Whole,blugrn,225-Whole,14000,WE4,4.15406462583277,13875,1.375,2.26408163265306,4.14263973156611,1.51871621621622,2.61737755102041,7.68269441282957
Q1,8/13/2019 Whole,8,13,2019 Whole,diatom,225-Whole,14000,WE4,4.15406462583277,13875,0.64625,0.834489795918367,4.14263973156611,0.624391891891892,1.35553571428571,87.5474599867793
Q1,8/13/2019 Whole,8,13,2019 Whole,grn,225-Whole,14000,WE4,4.15406462583277,13875,0.457,0.550612244897959,4.14263973156611,0.515608108108108,0.469461734693878,-47.2008426927328
Q1,8/13/2019 Whole,8,13,2019 Whole,total,225-Whole,14000,WE4,4.15406462583277,13875,2.8825,3.64938775510204,4.14263973156611,3.1525,4.45165306122449,18.397592815915
Q1,8/13/2019 Whole,8,13,2019 Whole,yellow_sub,225-Whole,14000,WE4,4.15406462583277,13875,0.3405,0.402857142857143,4.14263973156611,0.344797297297297,0.393354591836735,-6.13579299820268
Q1,8/15/18,8,15,2018,blugrn,228,14000,WE4,4.97542735040188,13925,2.64942307692308,2.46111111111111,4.96683787447435,2.85386862669121,2.60135236079836,-2.66118516777558
Q1,8/15/18,8,15,2018,crypto,228,14000,WE4,4.97542735040188,13925,0.402884615384615,0.123611111111111,4.96683787447435,0.646210484678227,0.519800953181946,135.602686126394
Q1,8/15/18,8,15,2018,diatom,228,14000,WE4,4.97542735040188,13925,1.56711538461538,1.01777777777778,4.96683787447435,1.62442854144467,1.63783300324661,61.8807255611591
Q1,8/15/18,8,15,2018,grn,228,14000,WE4,4.97542735040188,13925,2.82403846153846,2.03583333333333,4.96683787447435,2.81220696502955,3.01526122068785,55.8516282851605
Q1,8/15/18,8,15,2018,total,228,14000,WE4,4.97542735040188,13925,7.44519230769231,5.63861111111111,4.96683787447435,7.93722981045562,7.77392233466272,36.1775687750944
Q1,8/15/18,8,15,2018,yellow_sub,228,14000,WE4,4.97542735040188,13925,0.820769230769231,0.754444444444444,4.96683787447435,0.803109076818754,0.672368214004721,-13.1439661832743
Q1,8/22/19,8,22,2019,blugrn,234,14000,SB15,4.61754901958836,13850,4.92647058823529,5.763,4.63147333551336,5.24801889866406,5.2925,-22.4960670111578
Q1,8/22/19,8,22,2019,crypto,234,14000,SB15,4.61754901958836,13850,3.82882352941176,2.838,4.63147333551336,3.68950146627566,3.54944444444444,39.5297221160371
Q1,8/22/19,8,22,2019,diatom,234,14000,SB15,4.61754901958836,13850,0.540294117647059,1.1015,4.63147333551336,0.59276311502118,0.837555555555555,-55.5782376142777
Q1,8/22/19,8,22,2019,grn,234,14000,SB15,4.61754901958836,13850,0,0,4.63147333551336,0,0,NA
Q1,8/22/19,8,22,2019,total,234,14000,SB15,4.61754901958836,13850,9.29470588235294,9.7035,4.63147333551336,9.52964483545129,9.67894444444445,-4.16831220676565
Q1,8/22/19,8,22,2019,yellow_sub,234,14000,SB15,4.61754901958836,13850,0.710882352941176,0.7295,4.63147333551336,0.721176278918214,0.711166666666667,-6.03793118139053
Q1,8/8/2019 Whole,8,8,2019 Whole,blugrn,220-Whole,14000,SB15,5.2653846153948,13850,2.44769230769231,2.60535714285714,5.2762769823273,2.69108312858313,2.57300940438871,-14.2637579255208
Q1,8/8/2019 Whole,8,8,2019 Whole,crypto,220-Whole,14000,SB15,5.2653846153948,13850,2.91076923076923,2.90357142857143,5.2762769823273,2.73084971334971,2.84352664576803,5.70436760428664
Q1,8/8/2019 Whole,8,8,2019 Whole,diatom,220-Whole,14000,SB15,5.2653846153948,13850,1.67,0.9325,5.2762769823273,1.81634725634726,1.68974399164054,67.862376527789
Q1,8/8/2019 Whole,8,8,2019 Whole,grn,220-Whole,14000,SB15,5.2653846153948,13850,0,0,5.2762769823273,0,0,NA
Q1,8/8/2019 Whole,8,8,2019 Whole,total,220-Whole,14000,SB15,5.2653846153948,13850,7.02820512820513,6.44071428571429,5.2762769823273,7.23879402129402,7.10574712643678,9.13871314784885
Q1,8/8/2019 Whole,8,8,2019 Whole,yellow_sub,220-Whole,14000,SB15,5.2653846153948,13850,0.828205128205128,0.781071428571429,5.2762769823273,0.822358722358722,0.750449320794148,-4.37522158904984
Q1,9/18/19,9,18,2019,blugrn,261,14000,WE4,2.73325320515368,13900,0.949230769230769,0.95,2.69820673006552,0.923272772216043,1.05498127619138,33.9450710826776
Q1,9/18/19,9,18,2019,crypto,261,14000,WE4,2.73325320515368,13900,0.453846153846154,0.04375,2.69820673006552,0.451710879653038,0.281574196047171,478.050924853009
Q1,9/18/19,9,18,2019,diatom,261,14000,WE4,2.73325320515368,13900,0.790384615384615,0.107083333333333,2.69820673006552,0.760247637666992,0.859659323510934,543.404833662025
Q1,9/18/19,9,18,2019,grn,261,14000,WE4,2.73325320515368,13900,0.144230769230769,0.0252083333333333,2.69820673006552,0.324495005674094,0.134068527112931,220.332536492113
Q1,9/18/19,9,18,2019,total,261,14000,WE4,2.73325320515368,13900,2.33692307692308,1.125625,2.69820673006552,2.46127144638824,2.32993388682848,173.039574434752
Q1,9/18/19,9,18,2019,yellow_sub,261,14000,WE4,2.73325320515368,13900,0.391538461538462,0.385208333333333,2.69820673006552,0.376946101729194,0.396731496305904,17.2760662449837
Q1,9/6/19,9,6,2019,blugrn,249,14000,SB15,4.33037071585655,13875,7.86888888888889,7.63805970149254,4.3704231401726,7.93178242615085,7.31963940859902,-8.17029712078631
Q1,9/6/19,9,6,2019,crypto,249,14000,SB15,4.33037071585655,13875,4.00291666666667,3.54223880597015,4.3704231401726,4.11801731893837,3.98382239139889,14.4084600425572
Q1,9/6/19,9,6,2019,diatom,249,14000,SB15,4.33037071585655,13875,6.11638888888889,5.36746268656716,4.3704231401726,5.91180278152647,6.1958449418119,28.6999104158087
Q1,9/6/19,9,6,2019,grn,249,14000,SB15,4.33037071585655,13875,0,0,4.3704231401726,0,0,NA
Q1,9/6/19,9,6,2019,total,249,14000,SB15,4.33037071585655,13875,17.9883333333333,16.5488059701493,4.3704231401726,17.9614847678313,17.4994021726947,9.26999271866557
