Tank,ExperimentDate,lake,blugrn,crypto,diatom,grn,total,yellow_sub
Q1,10/4/18,LE,32.3657528474105,-102.385899937374,134.869994043643,504.498666229925,87.4736953937893,-28.1883393834306
Q1,6/12/19,LH,-8.19346361059307,12.0302005130131,0,0,6.99468872993756,-14.8063556553669
Q1,6/28/18,LE,-37.463914735075,0,92.4685635840683,338.774891848545,42.8902133074468,3.14582592270644
Q1,7/10/18,LE,47.4037929756268,424.411263471817,256.705213419427,191.027401401085,202.316600258613,-30.005425367679
Q1,7/18/19,LE,110.443871579924,-9.7163668699942,149.338440521953,179.925526186236,142.170760030056,-71.9049753970076
Q1,7/25/18,LE,4.18674571672382,-5.14725221920997,97.3500597597507,666.352437930947,42.9471187873791,-17.7876925247706
Q1,7/31/19,LE,-32.4593197715103,-65.2951548066556,-253.734999964482,0,-35.4660819910043,-5.38756416863598
Q1,8/13/2019 Whole,LE,7.68269441282957,0,87.5474599867793,-47.2008426927328,18.397592815915,-6.13579299820268
Q1,8/15/18,LE,-2.66118516777558,135.602686126394,61.8807255611591,55.8516282851605,36.1775687750944,-13.1439661832743
Q1,8/22/19,LH,-22.4960670111578,39.5297221160371,-55.5782376142777,0,-4.16831220676565,-6.03793118139053
Q1,9/18/19,LE,33.9450710826776,478.050924853009,543.404833662025,220.332536492113,173.039574434752,17.2760662449837
Q2,10/4/18,LE,20.9903656106653,387.734231407354,105.978245640441,276.113937589332,72.5069725187976,-22.239007735538
Q2,6/12/19,LH,-8.72359424119051,24.9577635119107,0,0,14.5785009617878,-22.157961447519
Q2,6/28/18,LE,122.8175590206,0,84.5755762338718,63.5215391476395,112.947156745009,2.15492377197843
Q2,7/10/18,LE,17.6053678718456,509.438124448051,263.037559100036,165.830775478796,193.019603466418,-19.8770636597253
Q2,7/25/18,LE,-3.10401188448578,65.7959761763712,80.7511874285617,516.95733242506,36.6183089786388,-20.9053656142714
Q2,7/31/19,LE,18.7467107982027,34.9367569563199,-66.2737267447874,0,19.6927533711005,4.12120862901293
Q2,8/15/18,LE,14.4825346494851,44.655699611357,57.5031307166713,56.8908279494077,40.3105120813137,-14.4565240672554
Q2,8/22/19,LH,1.41806913704743,14.4417600050434,83.9670919633658,0,11.862835734885,-8.01774215901495
Q2,9/18/19,LE,40.0806651401391,453.691621545239,618.937427725328,726.798542335676,207.848185973099,-30.6562748826514
Q3,10/4/18,LE,42.9320410978146,607.151389398148,121.038405798387,482.91154187089,94.759176887842,-18.8895569224353
Q3,6/12/19,LH,-11.0224924942927,18.6427053429576,0,0,10.1285385397401,-18.7762800017821
Q3,6/28/18,LE,-304.486753620429,0,152.133278983544,-62.113076778017,-152.441640472703,20.9793249856572
Q3,7/10/18,LE,26.5864013274353,399.492137669468,279.415212661472,209.566895488716,210.752811336021,-39.0909248160937
Q3,7/18/19,LE,69.0954222069026,8.9192659142578,189.181558783766,218.669842218846,153.858194966744,-48.3939883279728
Q3,7/25/18,LE,-9.82294517477679,39.546810643932,88.9158304915685,525.002653545059,37.7758451885809,-23.4610583413924
Q3,7/31/19,LE,10.7673660300548,4.92360241669823,0,0,10.1896556454666,-4.61942238368675
Q3,8/13/2019 Diluted,LE,64.906972551684,0,138.750711449727,201.623340322196,97.3503359547562,-17.2117403000088
Q3,8/15/18,LE,-0.45579522139922,83.137087643039,55.6959583044012,68.028079136622,41.3185724577916,-32.5470933754173
Q3,8/22/19,LH,-5.70771832827889,23.5846354268542,42.7399982183069,0,7.69041988796703,-12.9877837077341
Q3,9/18/19,LE,-11.3021717741635,0,507.229526022298,-216.076735686979,118.18319746541,24.0415738035056
Q4,10/4/18,LE,28.7063595502149,459.330979903501,124.870530648915,456.687150546357,89.267273505687,-37.1003374382181
Q4,6/12/19,LH,-12.7594626233233,16.7939502896826,0,0,10.5897020416408,-22.3246225135223
Q4,6/28/18,LE,82.0341108214129,0,103.998302731152,84.2906015574159,87.274323533874,3.72974103918411
Q4,7/10/18,LE,-27.7665568599966,439.220331328019,216.250119138308,229.861015132297,198.858162808617,-86.1448504516062
Q4,7/18/19,LE,102.547961281722,14.0577826060395,183.636448875677,166.149628810452,145.896944101764,-53.203539344962
Q4,7/31/19,LE,13.2983998663917,-19.7565306932385,289.946110542152,0,11.1424743572304,-2.04469376738838
Q4,8/15/18,LE,-0.131185510298436,8.26980390092422,70.0534077425133,52.6765117685,32.3299932365665,-6.5497324538173
Q4,8/22/19,LH,-9.27751875582125,13.8674087623179,193.19215618407,0,11.1316046504398,-19.8912745086816
Q4,9/18/19,LE,-51.1855936030837,870.163479679121,240.516214449194,461.727792941285,159.82796667578,18.9581742824706
