"seqnames","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","contrast","lake","Date","Year","Month","Day","Clade","sample_date","Year_lake","sig_label","strain_clade"
"NIES-2520",-2.57522011220063,2.11390555809893,-4.77355543931158,1.42247604956339e-05,0.00258890641020537,3.00694879453,"Decreased","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_2","06/28","2018 Lake Erie","2018 Lake Erie","NIES-2520 (Mae3_2)"
"F13-15",1.81664599113186,1.40698658172397,4.24915191237588,8.53960088508133e-05,0.00777103680542401,1.38517340463416,"Increased","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae4","06/28","2018 Lake Erie","2018 Lake Erie","F13-15 (Mae4)"
"LE17-10A",-1.69220611935921,1.13435182819568,-3.4710992710898,0.00102785487799343,0.0623565292649348,-0.846249292411253,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae5","06/28","2018 Lake Erie","No change","LE17-10A (Mae5)"
"FCY-27",0.621832320064462,0.0672416368619685,3.01656026416586,0.00389405567183859,0.14920948687707,-2.02231380919878,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Unclassified","06/28","2018 Lake Erie","No change","FCY-27 (Unclassified)"
"LE18-22",-1.83555465722177,2.37538675014286,-2.99830246669386,0.00409916172739203,0.14920948687707,-2.06723335356041,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","LE18-22 (Mae3_1)"
"LG11-05",0.187912502510712,0.0100220001339047,2.77652869139108,0.00753752579930426,0.185319323394913,-2.5973159574125,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae10","06/28","2018 Lake Erie","No change","LG11-05 (Mae10)"
"NIES-2481",0.187912502510712,0.0102832125020514,2.77558007570792,0.00755674761884845,0.185319323394913,-2.59951993044922,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae4","06/28","2018 Lake Erie","No change","NIES-2481 (Mfl_ae4)"
"Mv_BB_P_19951000_S68",0.00375393260485428,0.000200209738925561,2.7475320956239,0.00814590432505113,0.185319323394913,-2.66443453636691,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mvi","06/28","2018 Lake Erie","No change","Mv_BB_P_19951000_S68 (Mvi)"
"Ma_QC_Ch_20071001_S25",0.0383691325335769,0.00284874706007544,2.66704591472795,0.0100789182924114,0.201722597286184,-2.84798646492123,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","Ma_QC_Ch_20071001_S25 (Mae2_(LL/LG))"
"LE19-338",-1.10369383843206,0.859899611526082,-2.62114628041152,0.0113610567577668,0.201722597286184,-2.95082222265621,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae3","06/28","2018 Lake Erie","No change","LE19-338 (Mfl_ae3)"
"FD4",-1.17972630352398,1.73455209737951,-2.59386295227489,0.0121920251107034,0.201722597286184,-3.01130560290011,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mvi","06/28","2018 Lake Erie","No change","FD4 (Mvi)"
"NIES-3804",0.310831172561922,0.0375041297968267,2.54694609268313,0.0137513338625422,0.208561896915223,-3.11417810494941,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae3","06/28","2018 Lake Erie","No change","NIES-3804 (Mfl_ae3)"
"L211-101",-0.982463486088061,1.6167805291691,-2.42987264736066,0.0184610008775164,0.25845401228523,-3.3644963610005,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","L211-101 (Mae3_1)"
"W13-15",-0.15130791907121,0.0310915074799987,-2.34920009415995,0.0225041104632899,0.292553436022769,-3.53155407284448,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","W13-15 (Mae2_(HL/LG))"
"NIES-87",-0.593038265265391,0.746447175377667,-2.20181196954083,0.0319729611471081,0.387938595251578,-3.82495309932846,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae6","06/28","2018 Lake Erie","No change","NIES-87 (Mfl_ae6)"
"Ma_QC_B_20070730_S2",0.930306027460252,0.435470995302504,2.15776990979223,0.0354143803436931,0.402838576409509,-3.90959018048454,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","Ma_QC_B_20070730_S2 (Mae1)"
"LE19-84",0.812206483586906,1.48578914474714,2.03923640284038,0.0463359391559354,0.450423710010068,-4.13025701414439,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae4","06/28","2018 Lake Erie","No change","LE19-84 (Mae4)"
"Ma_QC_Ca_00000000_S207",0.617665876844529,0.583676704350923,2.0116692437282,0.0492590691081011,0.450423710010068,-4.1800652209993,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","Ma_QC_Ca_00000000_S207 (Mae2_(LL/LG))"
"Ma_MB_S_20031200_S102",0.233750830680769,0.0997020858566253,2.01040958047535,0.0493963581467174,0.450423710010068,-4.18232738223645,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae6","06/28","2018 Lake Erie","No change","Ma_MB_S_20031200_S102 (Mae6)"
"LE19-251",-0.69165326424191,2.14433901987754,-2.00948706592615,0.0494971109901173,0.450423710010068,-4.18398330992099,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_3","06/28","2018 Lake Erie","No change","LE19-251 (Mae3_3)"
"LG13-13",1.04727695021335,1.00860655239236,1.92115971635371,0.0600001201238956,0.47711611738271,-4.33951001626023,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae10","06/28","2018 Lake Erie","No change","LG13-13 (Mae10)"
"K13-06",-0.137533446100969,0.0866228644935585,-1.92080116988783,0.0600463592573529,0.47711611738271,-4.34012907036404,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_2","06/28","2018 Lake Erie","No change","K13-06 (Mae3_2)"
"M_OC_Ca_00000000_C217Col",0.313219699961966,0.111285924783708,1.90960719297958,0.0615053160242079,0.47711611738271,-4.3594059157865,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae4","06/28","2018 Lake Erie","No change","M_OC_Ca_00000000_C217Col (Mae4)"
"LE19-114",-0.960516779919575,0.564634074616638,-1.89899339566308,0.0629164110834343,0.47711611738271,-4.37759348280725,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae5","06/28","2018 Lake Erie","No change","LE19-114 (Mae5)"
"Ma_MB_F_20061100_S20D",0.409807731297555,0.0680865720923015,1.8490576698924,0.0699298132928843,0.509089040772198,-4.46197816128624,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae5","06/28","2018 Lake Erie","No change","Ma_MB_F_20061100_S20D (Mae5)"
"LSC13-02",1.00279936948849,1.50391835237686,1.7723033473531,0.0819888401586141,0.573921881110299,-4.58783673766605,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","LSC13-02 (Mae2_(LL/LG))"
"KLA2",0.522036012785017,0.368715473471586,1.73282801891125,0.0888376426653077,0.598551792487929,-4.65073075094304,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","KLA2 (Mae1)"
"NIES-4325",0.581593350817026,0.515605768568284,1.71498759098349,0.092084891151989,0.598551792487929,-4.67874203781604,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae10","06/28","2018 Lake Erie","No change","NIES-4325 (Mae10)"
"LG13-11",-0.502826156448253,0.494245808471573,-1.64825822568653,0.105110095194271,0.659656459495077,-4.78121597360002,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mvi","06/28","2018 Lake Erie","No change","LG13-11 (Mvi)"
"Mp_MB_F_20080800_S26D",-0.32833266866726,0.310031748566602,-1.62135807414802,0.11076954292521,0.663500780107997,-4.82149251271264,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mpa","06/28","2018 Lake Erie","No change","Mp_MB_F_20080800_S26D (Mpa)"
"DF17",0.717520168924148,0.597718933770284,1.57978085472309,0.12000096166252,0.663500780107997,-4.88256655575175,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","DF17 (Mae3_1)"
"BK11-02",0.62620091084351,1.09855776593583,1.57496692557097,0.121108707104038,0.663500780107997,-4.88954506704155,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","BK11-02 (Mae2_(LL/LG))"
"G11-06",0.054100979368981,0.0125333798659142,1.54103454239541,0.129151978641172,0.663500780107997,-4.93818601493988,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","G11-06 (Mae2_(HL/LG))"
"G13-12",-0.065192080145788,0.0160517041433756,-1.5387236871257,0.129714902275499,0.663500780107997,-4.94146348202474,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","G13-12 (Mae2_(HL/LG))"
"G13-11",-0.206287892586415,0.144613938089757,-1.53849726433604,0.129770163969994,0.663500780107997,-4.94178437454057,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","G13-11 (Mae2_(HL/LG))"
"LE19-131",0.310831172561922,0.0903619212896802,1.52433875618655,0.133263221989588,0.663500780107997,-4.96176464737435,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","LE19-131 (Mae1)"
"G11-09",0.0924701119025579,0.0504221903893531,1.50388643649413,0.138440627600415,0.663500780107997,-4.99032870434538,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","G11-09 (Mae2_(HL/LG))"
"NIES-843",0.456078011893041,0.41419869861001,1.50352658084791,0.138533129912659,0.663500780107997,-4.99082812602315,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","NIES-843 (Mae3_1)"
"K13-07",0.303835632827456,0.103993129310759,1.47631556945283,0.145670675574599,0.679796486014797,-5.02827531115501,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","K13-07 (Mae2_(LL/LG))"
"Mf_QC_C_20070823_S10",0.94108042579861,1.65735306210632,1.41994012683581,0.161376286200056,0.734262102210255,-5.10385524154333,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae1","06/28","2018 Lake Erie","No change","Mf_QC_C_20070823_S10 (Mfl_ae1)"
"M_QC_C_20170808_M9Col",-0.282204201008289,0.257986840954712,-1.38535439930644,0.171643547967588,0.761929895856121,-5.14887677826667,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","M_QC_C_20170808_M9Col (Mae3_1)"
"Ma_SC_T_19800800_S464",0.396048853115465,0.403603032421017,1.36031123346094,0.179386507751009,0.776757562780263,-5.18083345469753,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mwe","06/28","2018 Lake Erie","No change","Ma_SC_T_19800800_S464 (Mwe)"
"Ma_QC_C_20070703_M131",-0.14187616436839,0.0650762610075088,-1.33999671705558,0.185861286744252,0.776757562780263,-5.20635764901676,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae9","06/28","2018 Lake Erie","No change","Ma_QC_C_20070703_M131 (Mae9)"
"NIES-88",0.0383691325335769,0.0166130923980228,1.33405718632015,0.187787542650174,0.776757562780263,-5.21375276857396,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","NIES-88 (Mae3_1)"
"S11-01",0.311739152915968,0.197274366514199,1.3038174985324,0.197830030563358,0.788180180978509,-5.25092749519242,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","S11-01 (Mae2_(LL/LG))"
"Mp_MB_F_20051200_S6",0.0383691325335769,0.00763925243983875,1.29352850732267,0.20133751981729,0.788180180978509,-5.26339435718256,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mpa","06/28","2018 Lake Erie","No change","Mp_MB_F_20051200_S6 (Mpa)"
"LE17-20C",0.187912502510712,0.0405752117684644,1.28713321287809,0.203541035747197,0.788180180978509,-5.27109672398002,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae8","06/28","2018 Lake Erie","No change","LE17-20C (Mae8)"
"G13-05",-0.0614381475409337,0.0306149934736053,-1.26888839762773,0.209926454998418,0.795971141869003,-5.29287365785997,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","G13-05 (Mae2_(HL/LG))"
"L211-07",0.310831172561922,0.11190625229484,1.2546654611769,0.215006784876,0.798596629539429,-5.30964758760067,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","L211-07 (Mae3_1)"
"TA09",0.286134721574363,0.259888765804974,1.19078426914591,0.238949585151848,0.853652468945547,-5.38278809678336,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae10","06/28","2018 Lake Erie","No change","TA09 (Mae10)"
"EAWAG127a",0.416608844703891,0.222501133930924,1.19011493721119,0.239210307231994,0.853652468945547,-5.38353533805853,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae6","06/28","2018 Lake Erie","No change","EAWAG127a (Mae6)"
"G13-07",0.163062038279519,0.240259247661432,1.13698769792663,0.260566665895303,0.905275556584651,-5.44157562763102,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","G13-07 (Mae2_(HL/LG))"
"BS13-02",0.162415015355425,0.137650099733605,1.12119364805463,0.267169695561035,0.905275556584651,-5.45834470053627,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae6","06/28","2018 Lake Erie","No change","BS13-02 (Mae6)"
"LE19-8",-0.503984334327995,0.640050823369167,-1.1178130999128,0.268598242063578,0.905275556584651,-5.46190493470347,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae8","06/28","2018 Lake Erie","No change","LE19-8 (Mae8)"
"LE19-59",-0.0830526680300839,0.040524784548568,-1.08800393447338,0.281428505140498,0.931272507919465,-5.49285486361841,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_3","06/28","2018 Lake Erie","No change","LE19-59 (Mae3_3)"
"NIES-44",-0.433984206440629,1.07510902301778,-1.06066063240222,0.293567986857742,0.934451963472905,-5.52054193469498,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae8","06/28","2018 Lake Erie","No change","NIES-44 (Mae8)"
"TF09",0.323780981363886,0.375654853281397,1.05584471187359,0.29574295885209,0.934451963472905,-5.52534858635527,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","TF09 (Mae1)"
"Ma_QC_Ch_20071001_S25D",0.33324270085763,0.372566968085964,1.05132903839058,0.297792383963893,0.934451963472905,-5.5298365445114,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","Ma_QC_Ch_20071001_S25D (Mae2_(LL/LG))"
"SX13-01",-0.150196446529859,0.101462483160348,-1.02301618880896,0.310864149130369,0.946658467385683,-5.55755534743169,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","SX13-01 (Mae2_(HL/LG))"
"Sj",0.230820302884009,0.167634640982776,1.0204131269597,0.312085209028247,0.946658467385683,-5.56006735245463,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Unclassified","06/28","2018 Lake Erie","No change","Sj (Unclassified)"
"LE19-197",-0.0683001082130778,0.0203531721026541,-1.0084840877352,0.317722476480515,0.94795886425334,-5.5715004745655,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae1","06/28","2018 Lake Erie","No change","LE19-197 (Mfl_ae1)"
"LG13-12",0.769404876364353,1.67744404555595,0.952356595359909,0.345162225442814,0.997371080578489,-5.62355720183533,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae10","06/28","2018 Lake Erie","No change","LG13-12 (Mae10)"
"11-30S32",-0.338836953892846,0.534806423440277,-0.94615005004497,0.348289245364051,0.997371080578489,-5.62913713584213,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","11-30S32 (Mae3_1)"
"FCY-26",-0.0319061712812624,0.0140327118228079,-0.936338714690389,0.353270089205772,0.997371080578489,-5.63788604299285,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","FCY-26 (Mae1)"
"K13-10",-0.448358383898558,1.90090039066495,-0.92658527951196,0.35826720428517,0.997371080578489,-5.64649596104338,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_3","06/28","2018 Lake Erie","No change","K13-10 (Mae3_3)"
"LE19-41",0.0821258779227239,0.0886701153905635,0.919966861491931,0.36168401823176,0.997371080578489,-5.65228876696592,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_3","06/28","2018 Lake Erie","No change","LE19-41 (Mae3_3)"
"FCY-28",0.155719866889775,0.128940385549611,0.902234528047765,0.370941570997753,1,-5.66761098160812,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","FCY-28 (Mae1)"
"Ma_MB_S_20031200_S102D",-0.0432331050388594,0.0260079543864669,-0.893877018543144,0.375356762046109,1,-5.6747324121914,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae6","06/28","2018 Lake Erie","No change","Ma_MB_S_20031200_S102D (Mae6)"
"Mp_GB_SS_20050300_S99D",0.122720422364924,0.0713286176546508,0.884623372995405,0.380284135685436,1,-5.68254249178471,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mpa","06/28","2018 Lake Erie","No change","Mp_GB_SS_20050300_S99D (Mpa)"
"BS13-10",0.57077609004059,3.71435705831315,0.843823117166726,0.402493116254658,1,-5.71603682764849,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","BS13-10 (Mae2_(HL/LG))"
"Mw_QC_S_20081001_S30",-0.270033497805045,0.483802100567593,-0.839420708307827,0.404936414142916,1,-5.71955904477475,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mwe","06/28","2018 Lake Erie","No change","Mw_QC_S_20081001_S30 (Mwe)"
"LE19-281",0.0236560457536447,0.0185045581236523,0.797367939080287,0.428731729307024,1,-5.75229954902553,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_3","06/28","2018 Lake Erie","No change","LE19-281 (Mae3_3)"
"Mn_MB_F_20050700_S1D",0.1354488590179,0.225709300796186,0.753545463563337,0.454397266932652,1,-5.78467055456471,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mn","06/28","2018 Lake Erie","No change","Mn_MB_F_20050700_S1D (Mn)"
"Ma_AC_P_19900807_S300",0.0776582338979726,0.0918720102450322,0.752873533111024,0.454797609659573,1,-5.78515298117679,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","Ma_AC_P_19900807_S300 (Mae1)"
"Ma_QC_C_20070823_S18",-0.0617641422514123,0.0667747573911391,-0.716150052009744,0.476986244710745,1,-5.81087852537378,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae1","06/28","2018 Lake Erie","No change","Ma_QC_C_20070823_S18 (Mfl_ae1)"
"LE3",0.0768000512797762,0.0550937925627485,0.71423103294964,0.478162257390825,1,-5.81218819312671,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","LE3 (Mae1)"
"PCC_9809",0.177603080406796,0.268086319503821,0.687394041063738,0.494778071588412,1,-5.83014236688435,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","PCC_9809 (Mae3_1)"
"M_QC_C_20170808_M3Col",0.168229871884024,0.198066234462503,0.679584356696317,0.499672300343875,1,-5.83524034401069,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","M_QC_C_20170808_M3Col (Mae2_(LL/LG))"
"Mn_MB_F_20050700_S1",0.150436375881999,0.149138906345602,0.679195191902736,0.499916874204555,1,-5.83549288531178,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mn","06/28","2018 Lake Erie","No change","Mn_MB_F_20050700_S1 (Mn)"
"KW",-0.112891946065579,0.228886029414017,-0.644367281860119,0.522066781791279,1,-5.85751798527829,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","KW (Mae3_1)"
"Mw_MB_S_20031200_S109",0.10467956804915,0.157347921766283,0.633269534872246,0.529232241121836,1,-5.86429661502878,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mwe","06/28","2018 Lake Erie","No change","Mw_MB_S_20031200_S109 (Mwe)"
"BS11-05",-0.233653640181819,1.11655886680262,-0.579085010666068,0.564941149081293,1,-5.89572636876704,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","BS11-05 (Mae2_(HL/LG))"
"NIES-4285",0.0219589751069286,0.0209054276086438,0.572923096693697,0.569076267550047,1,-5.8991250771951,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","NIES-4285 (Mae1)"
"G13-10",0.361056620373175,1.91344585883941,0.538473024024403,0.592464683880857,1,-5.91746481542144,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","G13-10 (Mae2_(HL/LG))"
"PCC_9443",-0.153809157346886,0.395547888570149,-0.527336948593331,0.600120893123053,1,-5.92315278930546,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae4","06/28","2018 Lake Erie","No change","PCC_9443 (Mae4)"
"Mf_QC_C_20070823_S10D",0.0111465783515624,0.00757522624448734,0.506910824316214,0.614282417423155,1,-5.93328013036416,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae1","06/28","2018 Lake Erie","No change","Mf_QC_C_20070823_S10D (Mfl_ae1)"
"CHAOHU_1326",-0.065192080145788,0.0362841489748562,-0.484203794596492,0.630200486381507,1,-5.94407340533229,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae4","06/28","2018 Lake Erie","No change","CHAOHU_1326 (Mae4)"
"LE13-04",-0.065192080145788,0.0605714405924541,-0.471260262414672,0.639354422993604,1,-5.95000652938643,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","LE13-04 (Mae2_(HL/LG))"
"TW10",0.0383691325335769,0.0304914841160064,0.469355905789152,0.640706046854033,1,-5.95086601137308,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae8","06/28","2018 Lake Erie","No change","TW10 (Mae8)"
"LE19-55",-0.0960958277275253,0.232007677225329,-0.458483826619953,0.648445908380537,1,-5.95570675189791,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae1","06/28","2018 Lake Erie","No change","LE19-55 (Mfl_ae1)"
"NIES-102",0.0867814886350745,0.108348188815705,0.45789719022108,0.648864658696723,1,-5.95596474981626,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","NIES-102 (Mae3_1)"
"Msp_OC_L_20101000_S702",0.00746919563647928,0.00613463632603834,0.387553008447838,0.699871163043089,1,-5.98452361439632,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","Msp_OC_L_20101000_S702 (Mae1)"
"Mp_MB_F_20051200_S6D",0.00746919563647928,0.00542826465134461,0.36330774931861,0.717794259354066,1,-5.9932722300182,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mpa","06/28","2018 Lake Erie","No change","Mp_MB_F_20051200_S6D (Mpa)"
"SPC777",0.122246837104368,0.738352326476179,0.338132589326174,0.736575157895237,1,-6.00176144986509,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","SPC777 (Mae1)"
"M_QC_C_20170808_M2Col",0.0346875523708916,0.118615750646058,0.29481915889335,0.769263191336495,1,-6.01494671080325,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","M_QC_C_20170808_M2Col (Mae3_1)"
"W11-03",0.00746919563647928,0.00624387145981817,0.272776894842041,0.786065782576647,1,-6.02096620664328,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mwe","06/28","2018 Lake Erie","No change","W11-03 (Mwe)"
"L211-11",0.0147868450627751,0.018938467828755,0.272741147331651,0.78609311832294,1,-6.02097559030893,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","L211-11 (Mae3_1)"
"NIES-98",0.0111465783515624,0.0383344961775684,0.271015394911511,0.787413104922513,1,-6.02142713906191,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","NIES-98 (Mae1)"
